frame,time,air_ground,polynomial_x,polynomial_y,polynomial_z,bezier_x,bezier_y,bezier_z,exponential_x,exponential_y,exponential_z,mu_s_x,mu_s_y,mu_s_z,ball_x,ball_y,ball_z
43,1.133333,air,22.494537,22.638306,-6.745637,22.322101,23.696081,-7.107019,22.545126,22.887206,-6.971554,22.494537,23.384298,-6.745623,22.545126,22.887206,-6.971554
44,1.166667,air,22.681741,22.633325,-6.834235,22.533759,23.541089,-7.144367,22.794013,22.654162,-6.990096,22.681740,23.347203,-6.834221,22.794013,22.654162,-6.990096
45,1.200000,air,22.872622,22.614327,-6.916744,22.749575,23.369133,-7.174619,23.044348,22.413534,-7.003335,22.872621,23.296480,-6.916729,23.044348,22.413534,-7.003335
46,1.233333,air,23.067180,22.581312,-6.993163,22.969448,23.180832,-7.197985,23.295993,22.165942,-7.011529,23.067180,23.232130,-6.993149,23.295993,22.165942,-7.011529
47,1.266667,air,23.265416,22.534281,-7.063493,23.193277,22.976803,-7.214677,23.548820,21.911956,-7.014920,23.265416,23.154152,-7.063478,23.548820,21.911956,-7.014920
48,1.300000,air,23.467330,22.473233,-7.127733,23.420963,22.757661,-7.224906,23.802716,21.652098,-7.013740,23.467330,23.062548,-7.127718,23.802716,21.652098,-7.013740
49,1.333333,air,23.672921,22.398168,-7.185883,23.652404,22.524026,-7.228882,24.057578,21.386850,-7.008212,23.672921,22.957318,-7.185868,24.057578,21.386850,-7.008212
50,1.366667,air,23.882190,22.309087,-7.237944,23.887500,22.276512,-7.226815,24.313312,21.116651,-6.998544,23.882190,22.838461,-7.237929,24.313312,21.116651,-6.998544
51,1.400000,air,24.095137,22.205989,-7.283916,24.126151,22.015738,-7.218918,24.569834,20.841907,-6.984936,24.095136,22.705978,-7.283901,24.569834,20.841907,-6.984936
52,1.433333,air,24.311761,22.088874,-7.323798,24.368255,21.742321,-7.205400,24.827069,20.562990,-6.967580,24.311760,22.559868,-7.323782,24.827069,20.562990,-6.967580
53,1.466667,air,24.532062,21.957742,-7.357590,24.613712,21.456877,-7.186472,25.084946,20.280240,-6.946657,24.532062,22.400132,-7.357575,25.084946,20.280240,-6.946657
54,1.500000,air,24.756042,21.812594,-7.385293,24.862422,21.160023,-7.162346,25.343406,19.993972,-6.922338,24.756041,22.226770,-7.385277,25.343406,19.993972,-6.922338
55,1.533333,air,24.983698,21.653429,-7.406906,25.114284,20.852377,-7.133232,25.602390,19.704473,-6.894787,24.983698,22.039782,-7.406890,25.602390,19.704473,-6.894787
56,1.566667,air,25.215033,21.480247,-7.422429,25.369197,20.534555,-7.099340,25.861849,19.412008,-6.864162,25.215032,21.839168,-7.422414,25.861849,19.412008,-6.864162
57,1.600000,air,25.450045,21.293048,-7.431863,25.627061,20.207175,-7.060882,26.121737,19.116818,-6.830610,25.450044,21.624927,-7.431848,26.121737,19.116818,-6.830610
58,1.633333,air,25.688734,21.091833,-7.435208,25.887776,19.870853,-7.018068,26.382012,18.819127,-6.794273,25.688734,21.397060,-7.435192,26.382012,18.819127,-6.794273
59,1.666667,air,25.931102,20.876600,-7.432463,26.151240,19.526206,-6.971109,26.642638,18.519140,-6.755286,25.931101,21.155567,-7.432447,26.642638,18.519140,-6.755286
60,1.700000,air,26.177146,20.647352,-7.423628,26.417353,19.173852,-6.920216,26.903579,18.217044,-6.713776,26.177146,20.900448,-7.423612,26.903579,18.217044,-6.713776
61,1.733333,air,26.426869,20.404086,-7.408704,26.686015,18.814407,-6.865600,27.164807,17.913012,-6.669865,26.426868,20.631703,-7.408688,27.164807,17.913012,-6.669865
62,1.766667,air,26.680269,20.146804,-7.387690,26.957124,18.448489,-6.807472,27.426293,17.607202,-6.623671,26.680268,20.349331,-7.387674,27.426293,17.607202,-6.623671
63,1.800000,air,26.937346,19.875504,-7.360586,27.230581,18.076714,-6.746041,27.688011,17.299759,-6.575302,26.937346,20.053334,-7.360571,27.688011,17.299759,-6.575302
64,1.833333,air,27.198102,19.590189,-7.327393,27.506285,17.699700,-6.681520,27.949941,16.990817,-6.524863,27.198101,19.743710,-7.327378,27.949941,16.990817,-6.524863
65,1.866667,air,27.462534,19.290856,-7.288111,27.784135,17.318063,-6.614119,28.212061,16.680499,-6.472456,27.462534,19.420460,-7.288096,28.212061,16.680499,-6.472456
66,1.900000,air,27.730645,18.977507,-7.242739,28.064030,16.932420,-6.544048,28.474354,16.368917,-6.418175,27.730644,19.083584,-7.242724,28.474354,16.368917,-6.418175
67,1.933333,air,28.002433,18.650141,-7.191277,28.345870,16.543389,-6.471519,28.736801,16.056175,-6.362111,28.002432,18.733082,-7.191262,28.736801,16.056175,-6.362111
68,1.966667,air,28.277898,18.308758,-7.133726,28.629555,16.151586,-6.396742,28.999389,15.742367,-6.304349,28.277898,18.368953,-7.133711,28.999389,15.742367,-6.304349
69,2.000000,air,28.557041,17.953358,-7.070085,28.914984,15.757629,-6.319929,29.262104,15.427581,-6.244972,28.557041,17.991199,-7.070070,29.262104,15.427581,-6.244972
