frame,ball_x,ball_y,ball_z,center_x,center_y,diameter,depth,air_ground
78,31.151698,13.343543,-5.894824,801.000000,435.000000,18.640000,64.937945,air
79,31.452431,12.959556,-5.809444,801.000000,439.000000,18.550000,65.412231,air
80,31.755034,12.567243,-5.721168,800.000000,441.000000,18.460000,65.895246,air
81,32.059236,12.168266,-5.630951,799.000000,442.000000,18.360000,66.422689,air
82,32.366556,11.763994,-5.539053,798.000000,446.000000,18.270000,66.921983,air
83,32.679545,11.354048,-5.444320,799.000000,447.000000,18.180000,67.429504,air
84,33.000926,10.935999,-5.344346,797.000000,449.000000,18.080000,67.983884,air
85,33.332782,10.506664,-5.236926,798.000000,452.000000,17.990000,68.508474,air
86,33.675678,10.064416,-5.122019,796.000000,458.000000,17.890000,69.080881,air
87,34.027552,9.611016,-5.002433,795.000000,462.000000,17.790000,69.663213,air
88,34.383433,9.151183,-4.882418,794.000000,466.000000,17.690000,70.255613,air
89,34.737427,8.689387,-4.765023,794.000000,467.000000,17.600000,70.818096,air
90,35.087283,8.225772,-4.650027,792.000000,469.000000,17.500000,71.431219,air
91,35.439204,7.752818,-4.533485,790.000000,473.000000,17.400000,72.054607,air
92,35.808627,7.255019,-4.408919,787.000000,478.000000,17.300000,72.689013,air
93,36.213234,6.715471,-4.270060,787.000000,481.000000,17.200000,73.333505,air
94,36.658605,6.131658,-4.115094,786.000000,489.000000,17.100000,73.988915,air
95,37.122605,5.534192,-3.951377,784.000000,489.000000,17.000000,74.656998,air
96,37.548411,4.994637,-3.798556,782.000000,492.000000,16.900000,75.336266,air
97,37.852625,4.613920,-3.687458,782.000000,500.000000,16.820000,75.935597,air
98,37.952415,4.489911,-3.650585,779.000000,505.000000,16.770000,76.408948,air
