frame,x,y,w,h,center_x,center_y,diameter,air_ground
0,91.00,919.00,28.00,28.00,106.00,936.00,22.62,ground
1,92.00,919.00,27.00,28.00,106.00,936.00,22.70,ground
2,91.00,919.00,28.00,28.00,105.00,935.00,22.81,ground
3,93.00,921.00,25.00,26.00,105.00,934.00,22.93,ground
4,92.00,922.00,26.00,26.00,105.00,935.00,23.03,ground
5,93.00,922.00,25.00,26.00,105.00,935.00,23.12,ground
6,94.00,925.00,24.00,24.00,106.00,937.00,23.21,ground
7,94.00,924.00,23.00,25.00,105.00,936.00,23.28,ground
8,93.00,925.00,24.00,24.00,105.00,937.00,23.35,ground
9,94.00,925.00,23.00,24.00,105.00,937.00,23.41,ground
10,107.00,917.00,21.00,21.00,117.00,927.00,23.46,air
11,110.00,917.00,19.00,20.00,119.00,927.00,23.50,air
12,149.00,884.00,21.00,21.00,159.00,894.00,23.54,air
13,175.00,857.00,23.00,22.00,186.00,868.00,23.56,air
14,208.00,836.00,24.00,23.00,220.00,847.00,23.58,air
15,234.00,815.00,21.00,21.00,244.00,825.00,23.59,air
16,259.00,793.00,22.00,23.00,270.00,804.00,23.60,air
17,260.00,790.00,23.00,25.00,271.00,802.00,23.60,air
18,287.00,771.00,26.00,21.00,300.00,781.00,23.59,air
19,312.00,751.00,25.00,22.00,324.00,762.00,23.57,air
20,341.00,733.00,22.00,23.00,352.00,744.00,23.55,air
21,364.00,709.00,27.00,23.00,377.00,720.00,23.53,air
22,382.00,694.00,27.00,23.00,395.00,705.00,23.49,air
23,385.00,692.00,25.00,26.00,397.00,705.00,23.45,air
24,409.00,679.00,21.00,21.00,419.00,689.00,23.41,air
25,429.00,659.00,23.00,24.00,440.00,671.00,23.36,air
26,447.00,639.00,29.00,24.00,461.00,651.00,23.31,air
27,471.00,627.00,25.00,21.00,483.00,637.00,23.25,air
28,490.00,613.00,24.00,23.00,502.00,624.00,23.18,air
29,489.00,610.00,26.00,27.00,502.00,623.00,23.11,air
30,506.00,599.00,25.00,23.00,518.00,610.00,23.04,air
31,525.00,582.00,25.00,24.00,537.00,594.00,22.96,air
32,540.00,569.00,25.00,24.00,552.00,581.00,22.88,air
33,557.00,558.00,25.00,24.00,569.00,570.00,22.79,air
34,576.00,546.00,25.00,23.00,588.00,557.00,22.70,air
35,574.00,544.00,24.00,26.00,586.00,557.00,22.61,air
36,590.00,534.00,24.00,26.00,602.00,547.00,22.52,air
37,604.00,527.00,23.00,23.00,615.00,538.00,22.42,air
38,617.00,513.00,23.00,25.00,628.00,525.00,22.31,air
39,630.00,507.00,20.00,20.00,640.00,517.00,22.21,air
40,637.00,494.00,26.00,24.00,650.00,506.00,22.10,air
41,639.00,499.00,22.00,22.00,650.00,510.00,21.99,air
42,652.00,491.00,22.00,21.00,663.00,501.00,21.88,air
43,658.00,479.00,27.00,24.00,671.00,491.00,21.77,air
44,672.00,476.00,21.00,21.00,682.00,486.00,21.65,air
45,677.00,466.00,28.00,26.00,692.00,481.00,21.54,air
46,687.00,458.00,25.00,27.00,699.00,471.00,21.42,air
47,687.00,458.00,25.00,27.00,699.00,471.00,21.30,air
48,697.00,455.00,25.00,26.00,709.00,468.00,21.18,air
49,706.00,451.00,21.00,22.00,716.00,462.00,21.06,air
50,712.00,442.00,25.00,26.00,724.00,457.00,20.94,air
51,717.00,437.00,27.00,27.00,731.00,452.00,20.82,air
52,725.00,434.00,26.00,25.00,738.00,446.00,20.69,air
