frame,x,y,w,h,center_x,center_y,diameter,air_ground
53,725.00,434.00,26.00,25.00,738.00,448.00,20.57,air
54,732.00,430.00,25.00,24.00,743.00,443.00,20.45,air
55,737.00,427.00,24.00,24.00,749.00,440.00,20.33,air
56,742.00,424.00,26.00,25.00,755.00,437.00,20.21,air
57,749.00,422.00,23.00,24.00,760.00,435.00,20.09,air
58,754.00,420.00,23.00,24.00,766.00,433.00,19.97,air
59,754.00,420.00,23.00,24.00,766.00,433.00,19.85,air
60,758.00,418.00,24.00,25.00,770.00,431.00,19.73,air
61,762.00,416.00,24.00,25.00,774.00,429.00,19.62,air
62,765.00,415.00,24.00,23.00,777.00,427.00,19.50,air
63,770.00,413.00,23.00,22.00,781.00,426.00,19.39,air
64,774.00,412.00,23.00,23.00,784.00,426.00,19.28,air
65,774.00,412.00,23.00,23.00,784.00,426.00,19.17,air
66,777.00,412.00,22.00,23.00,787.00,425.00,19.07,air
67,778.00,412.00,22.00,23.00,790.00,425.00,18.97,air
68,782.00,415.00,23.00,21.00,793.00,425.00,18.87,air
69,786.00,417.00,18.00,18.00,795.00,426.00,18.77,air
70,785.00,414.00,21.00,21.00,796.00,427.00,18.68,air
71,785.00,414.00,21.00,21.00,796.00,427.00,18.59,air
72,786.00,417.00,21.00,20.00,797.00,428.00,18.50,air
73,787.00,416.00,22.00,23.00,799.00,429.00,18.42,air
74,788.00,418.00,21.00,22.00,800.00,430.00,18.34,air
75,790.00,421.00,18.00,21.00,799.00,431.00,18.26,air
76,792.00,425.00,17.00,18.00,800.00,434.00,18.19,air
77,791.00,424.00,19.00,22.00,800.00,435.00,18.13,air
78,793.00,427.00,16.00,17.00,801.00,435.00,18.07,air
79,791.00,427.00,20.00,20.00,801.00,439.00,18.01,air
80,792.00,433.00,17.00,17.00,800.00,441.00,17.96,air
81,791.00,432.00,17.00,21.00,799.00,442.00,17.92,air
82,788.00,435.00,21.00,23.00,798.00,446.00,17.88,air
83,789.00,437.00,20.00,20.00,799.00,447.00,17.84,air
84,788.00,439.00,19.00,21.00,797.00,449.00,17.81,air
85,789.00,441.00,18.00,22.00,798.00,452.00,17.79,air
86,786.00,446.00,21.00,19.00,796.00,458.00,17.77,air
87,787.00,453.00,17.00,19.00,795.00,462.00,17.77,air
88,785.00,456.00,19.00,21.00,794.00,466.00,17.76,air
89,786.00,459.00,16.00,17.00,794.00,467.00,17.77,air
90,782.00,460.00,20.00,19.00,792.00,469.00,17.78,air
91,781.00,463.00,18.00,20.00,790.00,473.00,17.80,air
92,777.00,468.00,20.00,20.00,787.00,478.00,17.82,air
93,778.00,468.00,18.00,26.00,787.00,481.00,17.85,air
94,778.00,479.00,16.00,20.00,786.00,489.00,17.89,air
95,773.00,480.00,23.00,19.00,784.00,489.00,17.94,air
96,770.00,483.00,25.00,19.00,782.00,492.00,18.00,air
97,773.00,491.00,19.00,19.00,782.00,500.00,18.06,air
98,770.00,497.00,18.00,17.00,779.00,505.00,18.10,air
