frame,time,air_ground,polynomial_x,polynomial_y,polynomial_z,bezier_x,bezier_y,bezier_z,exponential_x,exponential_y,exponential_z,mu_s_x,mu_s_y,mu_s_z,ball_x,ball_y,ball_z
4,0.000000,ground,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000
5,0.033333,air,32.343454,24.343928,-0.259687,32.330049,24.408881,-0.297759,32.344014,24.578639,-0.338795,32.096517,25.687328,-0.259687,32.096517,25.687328,-0.259687
6,0.066667,air,32.536103,24.056577,-0.406431,32.510249,24.181847,-0.479856,32.537181,24.492902,-0.556949,32.059731,27.712677,-0.406431,32.059731,27.712677,-0.406431
7,0.100000,air,32.727764,23.767619,-0.550231,32.690395,23.948683,-0.656359,32.729318,24.375966,-0.764852,32.040494,28.286358,-0.550231,32.040494,28.286358,-0.550231
8,0.133333,air,32.918436,23.477054,-0.691087,32.870462,23.709503,-0.827333,32.920427,24.230977,-0.962882,32.039855,27.985309,-0.691087,32.039855,27.985309,-0.691087
9,0.166667,air,33.108119,23.184883,-0.828999,33.050427,23.464420,-0.992845,33.110507,24.060769,-1.151399,32.058855,27.513087,-0.828999,32.058855,27.513087,-0.828999
10,0.200000,air,33.296814,22.891104,-0.963967,33.230267,23.213547,-1.152962,33.299561,23.867884,-1.330754,32.098501,27.016693,-0.963967,32.098501,27.016693,-0.963967
11,0.233333,air,33.484520,22.595719,-1.095992,33.409958,22.956996,-1.307748,33.487590,23.654613,-1.501282,32.159739,26.518827,-1.095991,32.159739,26.518827,-1.095991
12,0.266667,air,33.671238,22.298727,-1.225072,33.589478,22.694881,-1.457272,33.674594,23.423012,-1.663309,32.243422,26.022827,-1.225072,32.243422,26.022827,-1.225072
13,0.300000,air,33.856967,22.000128,-1.351209,33.768802,22.427316,-1.601598,33.860575,23.174932,-1.817145,32.350272,25.529179,-1.351209,32.350272,25.529179,-1.351209
14,0.333333,air,34.041708,21.699922,-1.474402,33.947908,22.154412,-1.740794,34.045533,22.912034,-1.963091,32.480835,25.037956,-1.474402,32.480835,25.037956,-1.474402
15,0.366667,air,34.225460,21.398110,-1.594651,34.126772,21.876284,-1.874925,34.229470,22.635816,-2.101437,32.635441,24.549166,-1.594651,32.635441,24.549166,-1.594651
16,0.400000,air,34.408223,21.094690,-1.711956,34.305371,21.593043,-2.004058,34.412387,22.347621,-2.232462,32.814160,24.062812,-1.711956,32.814160,24.062812,-1.711956
17,0.433333,air,34.589998,20.789664,-1.826317,34.483681,21.304804,-2.128259,34.594286,22.048657,-2.356435,33.016756,23.578894,-1.826317,33.016756,23.578894,-1.826317
18,0.466667,air,34.770784,20.483031,-1.937735,34.661679,21.011680,-2.247594,34.775166,21.740012,-2.473615,33.242651,23.097412,-1.937735,33.242651,23.097412,-1.937735
19,0.500000,air,34.950582,20.174791,-2.046209,34.839342,20.713783,-2.362130,34.955029,21.422662,-2.584250,33.490894,22.618366,-2.046208,33.490894,22.618366,-2.046208
