frame,ball_x,ball_y,ball_z,center_x,center_y,diameter,depth,air_ground
0,32.018768,24.501162,-0.110000,1027,907,16.020000,69.907694,ground
1,32.049374,24.526563,-0.110000,1028,908,16.330000,69.894363,ground
2,32.081417,24.556448,-0.110000,1028,908,17.330000,69.923849,ground
3,32.114898,24.590818,-0.110000,1032,911,18.810000,69.835320,ground
4,32.149816,24.629673,-0.110000,1032,911,20.150000,69.869745,ground
5,31.496149,25.931743,-0.422224,1036,907,20.940000,63.499202,air
6,30.825434,27.303878,-0.815508,1036,907,21.130000,62.926529,air
7,30.221322,28.595129,-1.281915,1040,861,20.990000,63.321300,air
8,29.814660,29.545194,-1.758570,1040,861,20.760000,64.028608,air
9,29.709727,29.929948,-2.160794,1045,821,20.520000,64.766447,air
10,29.924603,29.686525,-2.426935,1045,821,20.290000,65.514193,air
11,30.388912,28.928586,-2.543522,1050,784,20.070000,66.233085,air
12,30.989374,27.865758,-2.541557,1050,784,19.860000,66.955147,air
13,31.620598,26.707061,-2.475434,1052,747,19.660000,67.647031,air
14,32.207958,25.612139,-2.400917,1052,747,19.460000,68.372436,air
15,32.707776,24.682530,-2.359311,1053,712,19.270000,69.068709,air
16,33.109479,23.950531,-2.369645,1053,712,19.090000,69.758870,air
17,33.430137,23.385793,-2.429170,1055,680,18.910000,70.457030,air
18,33.702134,22.920445,-2.520821,1055,680,18.740000,71.144134,air
19,33.959808,22.480265,-2.622704,1054,650,18.580000,71.801806,air
20,34.229429,22.009068,-2.716640,1053,651,18.420000,72.482771,air
21,34.524037,21.480133,-2.792486,1052,623,18.270000,73.134250,air
22,34.843598,20.894598,-2.848609,1052,623,18.130000,73.765752,air
23,35.178730,20.272521,-2.889233,1050,595,18.000000,74.365795,air
24,35.515852,19.641765,-2.921479,1050,595,17.860000,75.025223,air
25,35.842163,19.027957,-2.952437,1047,571,17.740000,75.611457,air
26,36.149287,18.447301,-2.987328,1047,571,17.620000,76.212783,air
27,36.434649,17.904203,-3.028238,1043,548,17.510000,76.781283,air
28,36.700528,17.393178,-3.074329,1043,548,17.400000,77.363108,air
29,36.951973,16.903198,-3.122645,1038,527,17.300000,77.911026,air
30,37.194483,16.422232,-3.169681,1038,527,17.200000,78.470602,air
31,37.432285,15.941228,-3.212539,1032,509,17.110000,78.994945,air
32,37.667303,15.456567,-3.249867,1032,509,17.020000,79.529548,air
33,37.899352,14.970514,-3.281916,1025,492,16.930000,80.074815,air
34,38.126950,14.489121,-3.310446,1025,492,16.860000,80.534508,air
35,38.348043,14.019396,-3.338060,1017,477,16.780000,81.051652,air
36,38.560017,13.566272,-3.367351,1017,477,16.710000,81.528884,air
37,38.760202,13.130794,-3.399639,1010,461,16.650000,81.967152,air
38,38.947120,12.710246,-3.434399,1010,461,16.590000,82.411679,air
39,39.121891,12.300672,-3.469441,999,446,16.530000,82.865845,air
40,39.287886,11.898911,-3.502116,999,446,16.480000,83.275778,air
41,39.448775,11.503610,-3.530487,989,435,16.430000,83.694540,air
42,39.605981,11.115094,-3.554107,989,435,16.380000,84.119013,air
43,39.758210,10.734877,-3.573713,980,425,16.340000,84.500976,air
44,39.903044,10.364690,-3.590650,979,424,16.300000,84.887920,air
45,40.039481,10.006173,-3.606201,968,416,16.270000,85.230659,air
46,40.168750,9.660476,-3.621238,967,416,16.230000,85.630442,air
47,40.293685,9.327496,-3.635937,957,407,16.210000,85.933292,air
48,40.416815,9.005382,-3.650143,957,407,16.180000,86.292577,air
49,40.539083,8.691322,-3.663828,947,401,16.160000,86.606294,air
50,40.659475,8.382631,-3.677185,947,401,16.130000,86.977597,air
51,40.776452,8.077128,-3.690040,936,393,16.120000,87.249596,air
52,40.889012,7.773436,-3.701683,936,393,16.100000,87.578265,air
53,40.996905,7.472069,-3.711275,924,387,16.090000,87.860618,air
54,41.099513,7.175790,-3.718541,924,387,16.070000,88.200347,air
55,41.195944,6.887809,-3.723782,913,383,16.060000,88.492907,air
56,41.285935,6.608985,-3.727318,913,383,16.060000,88.733124,air
57,41.370914,6.337269,-3.728840,900,378,16.050000,89.036760,air
58,41.453160,6.069231,-3.727597,900,378,16.050000,89.286823,air
59,41.534672,5.802188,-3.723169,888,376,16.040000,89.599895,air
60,41.616511,5.534900,-3.715984,888,377,16.040000,89.859476,air
61,41.699293,5.267702,-3.707001,875,375,16.040000,90.127054,air
62,41.783076,5.001917,-3.696998,875,375,16.040000,90.396680,air
63,41.867408,4.739052,-3.686128,863,373,16.040000,90.674101,air
64,41.951593,4.478923,-3.674087,863,373,16.040000,90.953428,air
65,42.035672,4.218634,-3.660519,850,374,16.050000,91.183182,air
66,42.120115,3.953913,-3.645228,851,373,16.050000,91.472149,air
67,42.205442,3.682238,-3.628058,837,374,16.050000,91.768821,air
68,42.291728,3.404122,-3.608642,837,373,16.050000,92.067704,air
69,42.378956,3.122035,-3.586329,824,375,16.060000,92.316319,air
70,42.466541,2.838505,-3.560477,823,374,16.060000,92.624975,air
71,42.553715,2.554553,-3.531086,811,377,16.060000,92.940328,air
72,42.640773,2.268356,-3.499210,811,377,16.070000,93.200029,air
73,42.731123,1.975821,-3.466794,797,380,16.070000,93.525806,air
74,42.831008,1.672628,-3.435718,797,379,16.070000,93.853342,air
75,42.946606,1.356088,-3.406509,783,381,16.070000,94.189491,air
76,43.078353,1.025226,-3.377169,783,381,16.070000,94.526384,air
77,43.216522,0.679998,-3.342863,770,385,16.060000,94.930659,air
78,43.342071,0.319610,-3.297122,769,385,16.060000,95.277821,air
79,43.436389,-0.058225,-3.235119,755,391,16.050000,95.692684,air
80,43.494483,-0.456615,-3.157342,754,390,16.050000,96.063248,air
81,43.531230,-0.877442,-3.070374,740,394,16.050000,96.477031,air
82,43.573384,-1.320218,-2.983228,740,394,16.040000,96.920135,air
83,43.645213,-1.782071,-2.902471,727,397,16.020000,97.416175,air
84,43.759005,-2.259268,-2.829998,727,397,16.000000,97.895316,air
