frame,ball_x,ball_y,ball_z,center_x,center_y,diameter,depth,air_ground
85,43.915128,-2.749102,-2.764003,712,405,15.970000,98.428775,air
86,44.106071,-3.251522,-2.700700,712,405,15.940000,98.946098,air
87,44.320704,-3.768317,-2.635766,698,409,15.910000,99.457867,air
88,44.546399,-4.300522,-2.565587,698,409,15.860000,100.078391,air
89,44.771993,-4.847381,-2.488130,685,416,15.810000,100.694408,air
90,44.992516,-5.410661,-2.402396,685,416,15.750000,101.360166,air
91,45.214896,-6.002095,-2.306893,669,424,15.690000,102.024360,air
92,45.458159,-6.646750,-2.198535,669,424,15.620000,102.738898,air
93,45.745426,-7.373745,-2.073734,655,435,15.540000,103.518514,air
94,46.087617,-8.191751,-1.931924,655,435,15.460000,104.286710,air
95,46.466836,-9.057938,-1.780680,643,445,15.370000,105.122773,air
96,46.829140,-9.861649,-1.639109,643,445,15.270000,106.018820,air
97,47.094104,-10.439380,-1.536464,628,458,15.180000,106.849569,air
98,47.181951,-10.629340,-1.502528,628,458,15.120000,107.455179,air
