frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error
0,5323.055751412098,5323.055751412098,959.5,539.5,0.270269494547553,70.94685904181968,-17.855056337267733,0.8912147847801035,0.4535608435528877,-0.0043322724922270905,-0.09559859425998443,0.19716400344002363,0.9756983470945401,0.44339273354991826,-0.869142633255955,0.21907525394721303,4.8419443677627525
1,5263.3905400848935,5263.3905400848935,959.5,539.5,0.7367335125469887,70.00666341104488,-17.622682147314592,0.8911845532655995,0.4536208650021762,-0.004266480454830968,-0.09568580927552878,0.19716129895582177,0.9756903443702517,0.44343468281594883,-0.8691119220380829,0.21911218370320795,58.61236036843159
2,5190.152949048982,5190.152949048982,959.5,539.5,1.3017189325148961,68.79239875154629,-17.34125284601625,0.8909574124594901,0.45406419134935183,-0.004538647127661638,-0.09561992383169612,0.19737611551690665,0.9756533704087109,0.4439050792116609,-0.8688316172640795,0.2192712965537743,4.963790389272689
3,5238.962329524014,5238.962329524014,959.5,539.5,1.2528434700895175,69.74949836726354,-17.441835229255066,0.8929503340661584,0.45014337306433017,-0.0032626028571022814,-0.09536467535981866,0.1962483890427002,0.9759058092314347,0.4399378133153051,-0.8711242813080188,0.21816784119327817,5.725133844228166
4,5273.486676344035,5273.486676344035,959.5,539.5,0.7736750666170955,70.14583839499169,-17.52366106764026,0.8916472601528299,0.4527072092293606,-0.004620191956553832,-0.09451356627539295,0.19611382428504345,0.9760156523920105,0.4427554056720916,-0.8698250115029222,0.21765132692469988,5.026669621024446
5,5273.486676344035,5273.486676344035,959.5,539.5,0.7804936071625013,70.14641565240933,-17.53541687490319,0.8916782055713559,0.45264631005373457,-0.0046147268375265615,-0.09456013769320129,0.1962263523614602,0.9759885240095596,0.44268313506219026,-0.8698313265419073,0.21777305916448006,4.941068024813811
6,5352.144182084001,5352.144182084001,959.5,539.5,0.31892267867702273,71.02692435788617,-17.751452396685806,0.8915368732405935,0.4529266505366454,-0.004410542601746559,-0.09474070816081848,0.1959911274947655,0.9760182765504535,0.44292911607792607,-0.869738424572001,0.21764390860633104,6.9348843589723455
7,5301.650707721235,5301.650707721235,959.5,539.5,0.6598123909246556,70.22705842224808,-17.55221353869028,0.8913081041717155,0.4533711414712145,-0.004946869607151044,-0.09436382286665126,0.19616485267953698,0.9760198868400206,0.4434696521429774,-0.8694676294459175,0.21762515703356317,58.318050946291805
8,5210.420341790723,5210.420341790723,959.5,539.5,1.3527780871006363,69.226993649287,-17.38802277435433,0.8920986286349246,0.45182229074568986,-0.00408097696686438,-0.09533105174173945,0.19703922210568658,0.9757497299645026,0.44166959071403206,-0.8700759521658459,0.21885111400492394,58.18639302433521
9,5251.651925771716,5251.651925771716,959.5,539.5,1.117969594001776,69.72873568358435,-17.450986954323152,0.8923414329193246,0.4513323581713796,-0.0050862130262215866,-0.09396631007656042,0.19678146040500555,0.9759341112039629,0.44147151625680486,-0.8703885105562542,0.21800628666527708,5.43418480069821
10,5176.199156323249,5176.199156323249,959.5,539.5,1.6722869103377405,68.7497117645332,-17.23418554012283,0.8924311498230489,0.4511657927185215,-0.004008778639263938,-0.09510948629210664,0.19680240076197525,0.9758191434233981,0.44104515465285643,-0.8704701273076468,0.2185427395779757,58.173231127970844
11,5278.013809599637,5278.013809599637,959.5,539.5,0.908301818489269,69.95450456999022,-17.502860091881246,0.8918032028461723,0.45238838580648594,-0.005638774752624198,-0.09367125954753147,0.19682096119149206,0.9759545093755324,0.44262031418371184,-0.8698311661598814,0.21790135348100292,58.27464293025902
