frame,center_x,center_y,diameter,air_ground,ball_x_raw,ball_y_raw,ball_z_raw,ball_x_fitted,ball_y_fitted,ball_z_fitted,cam_x,cam_y,cam_z,roll,pitch,yaw
44,682.000000,486.000000,21.420000,air,,,,22.794013,22.654162,-6.990096,1.176099,69.723387,-17.491266,-76.292373,-27.108274,-6.074729
45,692.000000,481.000000,21.350000,air,,,,23.044348,22.413534,-7.003335,1.176099,69.723387,-17.491266,-76.308275,-27.150807,-6.075145
46,699.000000,471.000000,21.280000,air,,,,23.295993,22.165942,-7.011529,1.176099,69.723387,-17.491266,-76.324370,-27.194217,-6.075610
47,699.000000,471.000000,21.210000,air,,,,23.548820,21.911956,-7.014920,1.176099,69.723387,-17.491266,-76.340658,-27.238505,-6.076124
48,709.000000,468.000000,21.130000,air,,,,23.802716,21.652098,-7.013740,1.176099,69.723387,-17.491266,-76.357139,-27.283671,-6.076688
49,716.000000,462.000000,21.060000,air,,,,24.057578,21.386850,-7.008212,1.176099,69.723387,-17.491266,-76.373814,-27.329715,-6.077299
50,724.000000,457.000000,20.980000,air,,,,24.313312,21.116651,-6.998544,1.176099,69.723387,-17.491266,-76.390682,-27.376636,-6.077957
51,731.000000,452.000000,20.910000,air,,,,24.569834,20.841907,-6.984936,1.176099,69.723387,-17.491266,-76.407745,-27.424435,-6.078662
52,738.000000,446.000000,20.830000,air,,,,24.827069,20.562990,-6.967580,1.176099,69.723387,-17.491266,-76.425001,-27.473112,-6.079414
53,738.000000,448.000000,20.750000,air,,,,25.084946,20.280240,-6.946657,1.176099,69.723387,-17.491266,-76.442452,-27.522668,-6.080210
54,743.000000,443.000000,20.680000,air,,,,25.343406,19.993972,-6.922338,1.176099,69.723387,-17.491266,-76.460098,-27.573101,-6.081051
55,749.000000,440.000000,20.600000,air,,,,25.602390,19.704473,-6.894787,1.176099,69.723387,-17.491266,-76.477939,-27.624412,-6.081936
56,755.000000,437.000000,20.520000,air,,,,25.861849,19.412008,-6.864162,1.176099,69.723387,-17.491266,-76.495975,-27.676601,-6.082865
57,760.000000,435.000000,20.440000,air,,,,26.121737,19.116818,-6.830610,1.176099,69.723387,-17.491266,-76.514207,-27.729668,-6.083836
58,766.000000,433.000000,20.360000,air,,,,26.382012,18.819127,-6.794273,1.176099,69.723387,-17.491266,-76.532635,-27.783614,-6.084848
59,766.000000,433.000000,20.280000,air,,,,26.642638,18.519140,-6.755286,1.176099,69.723387,-17.491266,-76.551258,-27.838437,-6.085902
60,770.000000,431.000000,20.200000,air,,,,26.903579,18.217044,-6.713776,1.176099,69.723387,-17.491266,-76.570078,-27.894139,-6.086995
61,774.000000,429.000000,20.120000,air,,,,27.164807,17.913012,-6.669865,1.176099,69.723387,-17.491266,-76.589095,-27.950719,-6.088129
62,777.000000,427.000000,20.040000,air,,,,27.426293,17.607202,-6.623671,1.176099,69.723387,-17.491266,-76.608309,-28.008177,-6.089301
63,781.000000,426.000000,19.950000,air,,,,27.688011,17.299759,-6.575302,1.176099,69.723387,-17.491266,-76.627720,-28.066513,-6.090510
64,784.000000,426.000000,19.870000,air,,,,27.949941,16.990817,-6.524863,1.176099,69.723387,-17.491266,-76.647329,-28.125728,-6.091757
65,784.000000,426.000000,19.790000,air,,,,28.212061,16.680499,-6.472456,1.176099,69.723387,-17.491266,-76.667136,-28.185821,-6.093041
66,787.000000,425.000000,19.700000,air,,,,28.474354,16.368917,-6.418175,1.176099,69.723387,-17.491266,-76.687141,-28.246792,-6.094359
67,790.000000,425.000000,19.620000,air,,,,28.736801,16.056175,-6.362111,1.176099,69.723387,-17.491266,-76.707345,-28.308641,-6.095713
68,793.000000,425.000000,19.530000,air,,,,28.999389,15.742367,-6.304349,1.176099,69.723387,-17.491266,-76.727747,-28.371369,-6.097100
69,795.000000,426.000000,19.450000,air,,,,29.262104,15.427581,-6.244972,1.176099,69.723387,-17.491266,-76.748349,-28.434975,-6.098520
70,796.000000,427.000000,19.360000,air,,,,29.524934,15.111897,-6.184058,1.176099,69.723387,-17.491266,-76.769151,-28.499459,-6.099972
71,796.000000,427.000000,19.270000,air,,,,29.787867,14.795387,-6.121681,1.176099,69.723387,-17.491266,-76.790152,-28.564822,-6.101455
72,797.000000,428.000000,19.180000,air,,,,30.050894,14.478121,-6.057912,1.176099,69.723387,-17.491266,-76.811354,-28.631063,-6.102968
73,799.000000,429.000000,19.090000,air,,,,30.314006,14.160158,-5.992818,1.176099,69.723387,-17.491266,-76.832756,-28.698182,-6.104511
