frame,center_x,center_y,diameter,air_ground,ball_x_raw,ball_y_raw,ball_z_raw,ball_x_fitted,ball_y_fitted,ball_z_fitted,cam_x,cam_y,cam_z,roll,pitch,yaw
0,1027,907,16.020000,ground,,,,,,,1.915216,84.681683,-19.070094,-76.326014,-25.245769,-5.531541
1,1028,908,16.330000,ground,,,,,,,1.915216,84.681683,-19.070094,-76.331542,-25.269005,-5.533740
2,1028,908,17.330000,ground,,,,,,,1.915216,84.681683,-19.070094,-76.337482,-25.292304,-5.535774
3,1032,911,18.810000,ground,,,,,,,1.915216,84.681683,-19.070094,-76.343836,-25.315665,-5.537641
4,1032,911,20.150000,ground,,,,32.149816,24.629673,-0.110000,1.915216,84.681683,-19.070094,-76.350604,-25.339089,-5.539341
5,1036,907,20.940000,air,,,,32.096517,25.687328,-0.259687,1.915216,84.681683,-19.070094,-76.357785,-25.362575,-5.540874
6,1036,907,21.130000,air,,,,32.059731,27.712677,-0.406431,1.915216,84.681683,-19.070094,-76.365380,-25.386123,-5.542239
7,1040,861,20.990000,air,,,,32.040494,28.286358,-0.550231,1.915216,84.681683,-19.070094,-76.373389,-25.409734,-5.543437
8,1040,861,20.760000,air,,,,32.039855,27.985309,-0.691087,1.915216,84.681683,-19.070094,-76.381813,-25.433408,-5.544466
9,1045,821,20.520000,air,,,,32.058855,27.513087,-0.828999,1.915216,84.681683,-19.070094,-76.390652,-25.457144,-5.545327
10,1045,821,20.290000,air,,,,32.098501,27.016693,-0.963967,1.915216,84.681683,-19.070094,-76.399906,-25.480942,-5.546019
11,1050,784,20.070000,air,,,,32.159739,26.518827,-1.095991,1.915216,84.681683,-19.070094,-76.409575,-25.504803,-5.546541
12,1050,784,19.860000,air,,,,32.243422,26.022827,-1.225072,1.915216,84.681683,-19.070094,-76.419659,-25.528726,-5.546894
13,1052,747,19.660000,air,,,,32.350272,25.529179,-1.351209,1.915216,84.681683,-19.070094,-76.430159,-25.552711,-5.547077
14,1052,747,19.460000,air,,,,32.480835,25.037956,-1.474402,1.915216,84.681683,-19.070094,-76.441075,-25.576759,-5.547089
15,1053,712,19.270000,air,,,,32.635441,24.549166,-1.594651,1.915216,84.681683,-19.070094,-76.452408,-25.600869,-5.546931
16,1053,712,19.090000,air,,,,32.814160,24.062812,-1.711956,1.915216,84.681683,-19.070094,-76.464157,-25.625041,-5.546602
