frame,center_x,center_y,diameter,air_ground,ball_x_raw,ball_y_raw,ball_z_raw,ball_x_fitted,ball_y_fitted,ball_z_fitted,cam_x,cam_y,cam_z,roll,pitch,yaw
17,1055,680,18.910000,air,,,,33.016756,23.578894,-1.826317,1.915216,84.681683,-19.070094,-76.476322,-25.649275,-5.546101
18,1055,680,18.740000,air,,,,33.242651,23.097412,-1.937735,1.915216,84.681683,-19.070094,-76.488905,-25.673571,-5.545429
19,1054,650,18.580000,air,,,,33.490894,22.618366,-2.046208,1.915216,84.681683,-19.070094,-76.501905,-25.697929,-5.544584
20,1053,651,18.420000,air,,,,33.760142,22.141755,-2.151738,1.915216,84.681683,-19.070094,-76.515323,-25.722350,-5.543567
21,1052,623,18.270000,air,,,,34.048651,21.667581,-2.254324,1.915216,84.681683,-19.070094,-76.529158,-25.746832,-5.542377
22,1052,623,18.130000,air,,,,34.354290,21.195842,-2.353966,1.915216,84.681683,-19.070094,-76.543412,-25.771376,-5.541014
23,1050,595,18.000000,air,,,,34.674570,20.726539,-2.450664,1.915216,84.681683,-19.070094,-76.558084,-25.795982,-5.539477
24,1050,595,17.860000,air,,,,35.006688,20.259672,-2.544419,1.915216,84.681683,-19.070094,-76.573174,-25.820650,-5.537765
25,1047,571,17.740000,air,,,,35.347595,19.795241,-2.635229,1.915216,84.681683,-19.070094,-76.588684,-25.845379,-5.535880
26,1047,571,17.620000,air,,,,35.694074,19.333246,-2.723096,1.915216,84.681683,-19.070094,-76.604612,-25.870170,-5.533820
27,1043,548,17.510000,air,,,,36.042832,18.873686,-2.808019,1.915216,84.681683,-19.070094,-76.620960,-25.895022,-5.531584
28,1043,548,17.400000,air,,,,36.390594,18.416563,-2.889998,1.915216,84.681683,-19.070094,-76.637728,-25.919936,-5.529173
29,1038,527,17.300000,air,,,,36.734201,17.961875,-2.969033,1.915216,84.681683,-19.070094,-76.654916,-25.944911,-5.526585
30,1038,527,17.200000,air,,,,37.070697,17.509623,-3.045125,1.915216,84.681683,-19.070094,-76.672524,-25.969948,-5.523822
31,1032,509,17.110000,air,,,,37.397410,17.059807,-3.118272,1.915216,84.681683,-19.070094,-76.690553,-25.995045,-5.520881
32,1032,509,17.020000,air,,,,37.712011,16.612427,-3.188476,1.915216,84.681683,-19.070094,-76.709002,-26.020204,-5.517764
33,1025,492,16.930000,air,,,,38.012563,16.167483,-3.255736,1.915216,84.681683,-19.070094,-76.727873,-26.045423,-5.514468
34,1025,492,16.860000,air,,,,38.297543,15.724975,-3.320052,1.915216,84.681683,-19.070094,-76.747165,-26.070703,-5.510995
35,1017,477,16.780000,air,,,,38.565847,15.284902,-3.381424,1.915216,84.681683,-19.070094,-76.766880,-26.096044,-5.507344
36,1017,477,16.710000,air,,,,38.816783,14.847266,-3.439852,1.915216,84.681683,-19.070094,-76.787016,-26.121446,-5.503513
37,1010,461,16.650000,air,,,,39.050046,14.412065,-3.495337,1.915216,84.681683,-19.070094,-76.807574,-26.146908,-5.499503
38,1010,461,16.590000,air,,,,39.265675,13.979300,-3.547877,1.915216,84.681683,-19.070094,-76.828555,-26.172430,-5.495314
39,999,446,16.530000,air,,,,39.464020,13.548971,-3.597474,1.915216,84.681683,-19.070094,-76.849959,-26.198013,-5.490945
40,999,446,16.480000,air,,,,39.645686,13.121078,-3.644127,1.915216,84.681683,-19.070094,-76.871786,-26.223656,-5.486395
41,989,435,16.430000,air,,,,39.811487,12.695621,-3.687836,1.915216,84.681683,-19.070094,-76.894037,-26.249358,-5.481664
42,989,435,16.380000,air,,,,39.962400,12.272600,-3.728602,1.915216,84.681683,-19.070094,-76.916712,-26.275121,-5.476752
43,980,425,16.340000,air,,,,40.099519,11.852014,-3.766423,1.915216,84.681683,-19.070094,-76.939811,-26.300943,-5.471658
44,979,424,16.300000,air,,,,40.224015,11.433865,-3.801301,1.915216,84.681683,-19.070094,-76.963334,-26.326824,-5.466383
45,968,416,16.270000,air,,,,40.337101,11.018151,-3.833234,1.915216,84.681683,-19.070094,-76.987282,-26.352766,-5.460924
46,967,416,16.230000,air,,,,40.440005,10.604873,-3.862224,1.915216,84.681683,-19.070094,-77.011655,-26.378766,-5.455282
47,957,407,16.210000,air,,,,40.533941,10.194031,-3.888270,1.915216,84.681683,-19.070094,-77.036454,-26.404825,-5.449457
48,957,407,16.180000,air,,,,40.620096,9.785625,-3.911372,1.915216,84.681683,-19.070094,-77.061678,-26.430944,-5.443449
49,947,401,16.160000,air,,,,40.699610,9.379655,-3.931531,1.915216,84.681683,-19.070094,-77.087329,-26.457121,-5.437255
50,947,401,16.130000,air,,,,40.773569,8.976121,-3.948745,1.915216,84.681683,-19.070094,-77.113406,-26.483356,-5.430877
51,936,393,16.120000,air,,,,40.842997,8.575022,-3.963016,1.915216,84.681683,-19.070094,-77.139909,-26.509650,-5.424314
52,936,393,16.100000,air,,,,40.908850,8.176360,-3.974343,1.915216,84.681683,-19.070094,-77.166840,-26.536003,-5.417565
53,924,387,16.090000,air,,,,40.972019,7.780133,-3.982726,1.915216,84.681683,-19.070094,-77.194197,-26.562413,-5.410630
54,924,387,16.070000,air,,,,41.033323,7.386342,-3.988165,1.915216,84.681683,-19.070094,-77.221983,-26.588881,-5.403509
55,913,383,16.060000,air,,,,41.093517,6.994987,-3.990660,1.915216,84.681683,-19.070094,-77.250196,-26.615407,-5.396201
56,913,383,16.060000,air,,,,41.153289,6.606068,-3.990212,1.915216,84.681683,-19.070094,-77.278838,-26.641990,-5.388705
57,900,378,16.050000,air,,,,41.213267,6.219585,-3.986819,1.915216,84.681683,-19.070094,-77.307909,-26.668631,-5.381021
58,900,378,16.050000,air,,,,41.274021,5.835537,-3.980483,1.915216,84.681683,-19.070094,-77.337408,-26.695329,-5.373149
59,888,376,16.040000,air,,,,41.336065,5.453926,-3.971203,1.915216,84.681683,-19.070094,-77.367337,-26.722083,-5.365088
60,888,377,16.040000,air,,,,41.399865,5.074750,-3.958979,1.915216,84.681683,-19.070094,-77.397696,-26.748895,-5.356837
61,875,375,16.040000,air,,,,41.465839,4.698010,-3.943811,1.915216,84.681683,-19.070094,-77.428484,-26.775763,-5.348397
62,875,375,16.040000,air,,,,41.534364,4.323706,-3.925700,1.915216,84.681683,-19.070094,-77.459703,-26.802687,-5.339767
63,863,373,16.040000,air,,,,41.605776,3.951838,-3.904644,1.915216,84.681683,-19.070094,-77.491353,-26.829667,-5.330946
64,863,373,16.040000,air,,,,41.680379,3.582406,-3.880645,1.915216,84.681683,-19.070094,-77.523433,-26.856703,-5.321934
65,850,374,16.050000,air,,,,41.758441,3.215410,-3.853702,1.915216,84.681683,-19.070094,-77.555945,-26.883794,-5.312731
66,851,373,16.050000,air,,,,41.840204,2.850849,-3.823815,1.915216,84.681683,-19.070094,-77.588889,-26.910941,-5.303335
67,837,374,16.050000,air,,,,41.925884,2.488725,-3.790984,1.915216,84.681683,-19.070094,-77.622265,-26.938143,-5.293747
68,837,373,16.050000,air,,,,42.015673,2.129036,-3.755210,1.915216,84.681683,-19.070094,-77.656073,-26.965399,-5.283965
69,824,375,16.060000,air,,,,42.109742,1.771783,-3.716491,1.915216,84.681683,-19.070094,-77.690314,-26.992711,-5.273990
70,823,374,16.060000,air,,,,42.208243,1.416966,-3.674829,1.915216,84.681683,-19.070094,-77.724989,-27.020076,-5.263822
71,811,377,16.060000,air,,,,42.311312,1.064585,-3.630223,1.915216,84.681683,-19.070094,-77.760096,-27.047496,-5.253458
72,811,377,16.070000,air,,,,42.419069,0.714640,-3.582673,1.915216,84.681683,-19.070094,-77.795638,-27.074970,-5.242900
73,797,380,16.070000,air,,,,42.531622,0.367131,-3.532179,1.915216,84.681683,-19.070094,-77.831614,-27.102497,-5.232146
74,797,379,16.070000,air,,,,42.649065,0.022057,-3.478741,1.915216,84.681683,-19.070094,-77.868024,-27.130078,-5.221196
75,783,381,16.070000,air,,,,42.771483,-0.320580,-3.422359,1.915216,84.681683,-19.070094,-77.904869,-27.157711,-5.210050
76,783,381,16.070000,air,,,,42.898952,-0.660782,-3.363034,1.915216,84.681683,-19.070094,-77.942150,-27.185398,-5.198707
77,770,385,16.060000,air,,,,43.031539,-0.998548,-3.300765,1.915216,84.681683,-19.070094,-77.979866,-27.213136,-5.187167
78,769,385,16.060000,air,,,,43.169301,-1.333878,-3.235552,1.915216,84.681683,-19.070094,-78.018018,-27.240927,-5.175428
79,755,391,16.050000,air,,,,43.312293,-1.666772,-3.167395,1.915216,84.681683,-19.070094,-78.056607,-27.268770,-5.163491
80,754,390,16.050000,air,,,,43.460560,-1.997230,-3.096294,1.915216,84.681683,-19.070094,-78.015110,-27.218186,-5.205482
81,740,394,16.050000,air,,,,43.614144,-2.325253,-3.022249,1.915216,84.681683,-19.070094,-77.973126,-27.144562,-5.229861
82,740,394,16.040000,air,,,,43.773082,-2.650839,-2.945261,1.915216,84.681683,-19.070094,-78.009610,-27.151570,-5.202273
83,727,397,16.020000,air,,,,43.937407,-2.973990,-2.865329,1.915216,84.681683,-19.070094,-78.044183,-27.160665,-5.176681
84,727,397,16.000000,air,,,,44.107148,-3.294705,-2.782452,1.915216,84.681683,-19.070094,-78.076845,-27.171850,-5.153081
85,712,405,15.970000,air,,,,44.282329,-3.612983,-2.696632,1.915216,84.681683,-19.070094,-78.107597,-27.185128,-5.131473
86,712,405,15.940000,air,,,,44.462975,-3.928826,-2.607869,1.915216,84.681683,-19.070094,-78.136442,-27.200501,-5.111855
87,698,409,15.910000,air,,,,44.649105,-4.242234,-2.516161,1.915216,84.681683,-19.070094,-78.163380,-27.217971,-5.094226
88,698,409,15.860000,air,,,,44.840737,-4.553205,-2.421509,1.915216,84.681683,-19.070094,-78.188411,-27.237541,-5.078585
89,685,416,15.810000,air,,,,45.037887,-4.861740,-2.323914,1.915216,84.681683,-19.070094,-78.211536,-27.259211,-5.064931
90,685,416,15.750000,air,,,,45.240570,-5.167840,-2.223375,1.915216,84.681683,-19.070094,-78.232753,-27.282985,-5.053266
91,669,424,15.690000,air,,,,45.448798,-5.471503,-2.119892,1.915216,84.681683,-19.070094,-78.252062,-27.308863,-5.043588
92,669,424,15.620000,air,,,,45.662582,-5.772731,-2.013465,1.915216,84.681683,-19.070094,-78.269463,-27.336847,-5.035899
93,655,435,15.540000,air,,,,45.881932,-6.071523,-1.904094,1.915216,84.681683,-19.070094,-78.284954,-27.366938,-5.030200
94,655,435,15.460000,air,,,,46.106857,-6.367879,-1.791780,1.915216,84.681683,-19.070094,-78.298532,-27.399136,-5.026492
95,643,445,15.370000,air,,,,46.337364,-6.661799,-1.676521,1.915216,84.681683,-19.070094,-78.310197,-27.433443,-5.024778
96,643,445,15.270000,air,,,,46.573461,-6.953284,-1.558319,1.915216,84.681683,-19.070094,-78.319945,-27.469860,-5.025058
97,628,458,15.180000,air,,,,46.815154,-7.242332,-1.437173,1.915216,84.681683,-19.070094,-78.327774,-27.508386,-5.027335
98,628,458,15.120000,air,,,,47.062448,-7.528945,-1.313083,1.915216,84.681683,-19.070094,-78.333681,-27.549022,-5.031613
