frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error,confidence
0,6038.425780869544,6038.425780869544,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.9002747048094191,0.4352707932312912,-0.006692715451611431,-0.08718680504484683,0.19534933108187363,0.9768506026368293,0.4265019541647911,-0.8788503714544742,0.2138179311656236,7.406099573944417,0.46486771073654753
1,6036.492710485104,6036.492710485104,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.9000991225002385,0.4356336609467718,-0.0066994868769024996,-0.08720468131075129,0.19520401306750046,0.9768780562792029,0.42686873067934017,-0.8787028546286032,0.21369225544168136,5.581702774755754,0.7198179667791296
2,6034.913722193053,6034.913722193053,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8999231812741192,0.43599689920990325,-0.006706093111355782,-0.08721987478530388,0.19505279968626388,0.9769069038434451,0.42723642312881593,-0.8785562641139723,0.2135601309659546,6.3636837525238805,0.6021122680452416
3,6033.688815993393,6033.688815993393,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8997468806057856,0.4363605078147056,-0.006712530063320982,-0.08723238155937149,0.1948956920100437,0.976937142728951,0.4276050308960817,-0.8784105967345903,0.2134215572446762,6.86497836221656,0.5334810981515518
4,6032.817991886122,6032.817991886122,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8995702199713898,0.43672448655046125,-0.006718793631403791,-0.08724219770411679,0.1947326910899086,0.97696877020744,0.42797455330940093,-0.8782658491983609,0.21327653375723404,6.574359178850512,0.572650868614222
5,6032.301249871241,6032.301249871241,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8993931988485779,0.43708883520159036,-0.006724879704464143,-0.08724931927103405,0.19456379795626694,0.9770017834229241,0.42834498964230194,-0.878122018097115,0.2131250599563232,4.794936428368783,0.8527437936174834
6,6032.13858994875,6032.13858994875,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8992158167165507,0.437453553547524,-0.006730784161612963,-0.08725374229199023,0.19438901361902317,0.9770361793916672,0.42871633911343954,-0.877979099906636,0.21296713526810573,4.468465839402891,0.9125851513406328
7,6032.33001211865,6032.33001211865,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.89903807305613,0.437818641362578,-0.0067365028722098375,-0.0872554627792673,0.1942083390677405,0.9770719550021513,0.4290886008864567,-0.8778370909866912,0.21280275909237467,4.599564915291294,0.8882087961237544
8,6032.875516380938,6032.875516380938,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8988599673498212,0.43818409841582595,-0.006742031695861184,-0.08725447672560804,0.19402177527180925,0.9771091070150333,0.429461774069845,-0.8776959875810559,0.21263193080272808,4.711963729813301,0.8676809469746828
9,6033.775102735618,6033.775102735618,959.5,539.5,1.915216181116944,84.68168266381842,-19.070093815386457,0.8986814990818807,0.4385499244709731,-0.006747366482418832,-0.0872507801042646,0.19382932318062196,0.9771476320631083,0.4298358577168051,-0.8775557858175436,0.21245464974674633,5.771907143885592,0.6899285358762242
