frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error
0,5820.987118618493,5820.987118618493,959.5,539.5,3.644670302257848,81.35808202661548,-18.19959093044789,0.9003937158719422,0.4350228054627331,-0.0068055231723591625,-0.08679046882785366,0.19491942871750675,0.9769717656253339,0.4263315270290925,-0.8790685838066187,0.21326006195551084,7.406099573944417
1,6118.104194386493,6118.104194386493,959.5,539.5,1.356923358072719,85.71687363509513,-19.27146695166681,0.8996331653979037,0.4366056889283183,-0.005969933967511387,-0.08781303849896316,0.1942992792573453,0.9770039203348447,0.42772542359056415,-0.8784208914156725,0.21313774780354555,5.581702774755754
2,5859.753191774541,5859.753191774541,959.5,539.5,3.8290873729420865,80.90794514891692,-17.762421645509363,0.9002282760678023,0.4351677968236808,-0.01476616319891072,-0.07843189445269352,0.19542273890420248,0.977577818412295,0.42829602951761614,-0.8788850560379349,0.21005611005786448,6.3636837525238805
3,6017.217702144529,6017.217702144529,959.5,539.5,2.1108562286316044,84.20788082842402,-18.941799559445084,0.8993853953529032,0.4371187074436332,-0.005757276153629393,-0.0881819685111111,0.19430478933367523,0.9769695948551835,0.4281703528449945,-0.8781644973721059,0.21330087786924212,6.86497836221656
4,5938.560617197712,5938.560617197712,959.5,539.5,2.2745551121933807,83.0988282042452,-18.99187422503013,0.8978657019126168,0.44024860583675207,-0.0042832683502117275,-0.0913012716297231,0.1957041493695203,0.9764035864940009,0.43069857107698806,-0.876288223690327,0.21591130098698416,6.574359178850512
5,6117.9446997109835,6117.9446997109835,959.5,539.5,1.5562842670731238,85.36038551349664,-19.230947005682175,0.8991442102698801,0.4376177815996304,-0.005510568570663371,-0.08842499415742863,0.19398368538309743,0.9770114381180245,0.42862653854656796,-0.8779869059576059,0.21311565738016022,4.794936428368783
6,6080.308948990855,6080.308948990855,959.5,539.5,1.8099219450989188,84.74415852166412,-19.070093815386457,0.8990516428316222,0.43778943102423434,-0.006823313362154471,-0.08725974652895935,0.19442586495878544,0.9770283105779125,0.429059296784795,-0.8778035071236074,0.2130002880843872,4.468465839402891
7,6146.625950526792,6146.625950526792,959.5,539.5,1.4314868557406848,85.70197178707741,-19.215110554971403,0.8989180020076473,0.438087266452403,-0.005096335824983228,-0.08847418938089063,0.1929096947797726,0.9772196106676173,0.4290906005495506,-0.8779894057630971,0.21216941317680482,4.599564915291294
8,6148.9704216928185,6148.9704216928185,959.5,539.5,1.4132948862021244,85.73041881678486,-19.232347763458538,0.8989114099470106,0.4380992898332844,-0.0052239175576846986,-0.08840675137114207,0.19304902408410266,0.9771981992473054,0.4291183093030157,-0.8779527815023694,0.21226490542050017,4.711963729813301
9,6163.8649929476105,6163.8649929476105,959.5,539.5,1.4846379986215927,85.6435397136333,-19.1367825342708,0.8987880509245638,0.4383274326786225,-0.007007230308139711,-0.08652264995276629,0.19303873375280967,0.9773688547914052,0.42976024776655963,-0.8778411638972505,0.21142615828498076,5.771907143885592
10,6045.05727199572,6045.05727199572,959.5,539.5,2.2684640059414365,84.00071426301128,-18.719917170571126,0.8987384375906599,0.43842772263444496,-0.00709597228528816,-0.0863750630638209,0.19288078983188414,0.9774130904558979,0.4298936720606856,-0.8778257987433512,0.21121860188623756,5.223028575998001
11,6014.857456325972,6014.857456325972,959.5,539.5,3.0135304380936243,82.83776473909187,-18.324906896138884,0.8989408895555568,0.43798808946967976,-0.008468209241868807,-0.08448644421006007,0.19230572022755674,0.9776914394186444,0.42984569071912854,-0.8781713633741768,0.2098755314936328,6.110150836569765
12,6040.099324398244,6040.099324398244,959.5,539.5,2.7995705856751156,83.2682382309847,-18.45556954271014,0.8989050284415708,0.43807081406821236,-0.007981961167056573,-0.08504453113551633,0.19232151072109158,0.9776399461140576,0.42981062988995383,-0.8781266414222785,0.21013430005125378,6.064611976663139
13,5937.046552424263,5937.046552424263,959.5,539.5,2.993414519183213,82.41399694650156,-18.452026528972038,0.8978936828370401,0.44016600538495,-0.006389211594031968,-0.08763920639894415,0.19296076459703315,0.9772847654741641,0.4314003984966871,-0.8769378718185141,0.2118340509628116,4.908026579499173
14,5898.224981470696,5898.224981470696,959.5,539.5,3.2440098661453938,81.8467281105845,-18.37117725058087,0.8977780342697534,0.44040106768555043,-0.006442108673752556,-0.08787945157157162,0.19344019032444082,0.9771684065496202,0.4315921722809822,-0.8767142022054115,0.21236855811798422,4.620566836882501
15,6086.979156749373,6086.979156749373,959.5,539.5,2.1807591006948708,84.31403416610637,-18.88380674393022,0.8980249876093158,0.4399092440137754,-0.005565847690761988,-0.0880907096146849,0.19219348824499916,0.9773953601055207,0.4310349736493193,-0.8772351566754766,0.2113464723710396,5.47140780851379
16,6181.440256312294,6181.440256312294,959.5,539.5,1.5714933185615936,85.727739390264,-19.1553023366494,0.898335547092777,0.4392784710384527,-0.005260200722412761,-0.08796359507460766,0.1915932732349551,0.9775246409132948,0.4304133487370847,-0.8776824269251576,0.21075556148223856,5.9893804391032965
17,5829.25874580734,5829.25874580734,959.5,539.5,3.8629319612838025,80.48391794417626,-17.9605586020559,0.8969692544560057,0.4419828799071812,-0.00986359111031443,-0.08463965623384365,0.19358238898159613,0.9774262055361492,0.43391506675068797,-0.8758864039047142,0.2110467301372228,8.39704582134163
18,5806.537693889291,5806.537693889291,959.5,539.5,3.7707488017420108,80.19700855446642,-18.19390952687247,0.8959343540035893,0.4441224208946061,-0.007543777229316678,-0.08830515367442429,0.19473219947221493,0.9768733645274856,0.4353203798935992,-0.8745482523837251,0.2136855659651925,8.836743609040646
