frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error,confidence
0,6038.425780869476,6038.425780869476,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.9002747048094191,0.4352707932312908,-0.0066927154516132625,-0.08718680504484644,0.1953493310818772,0.9768506026368287,0.4265019541647908,-0.8788503714544735,0.2138179311656267,7.406099573944417,0.46486771073654753
1,6036.492710485039,6036.492710485039,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.9000991225002386,0.43563366094677153,-0.006699486876904137,-0.08720468131075093,0.19520401306750362,0.9768780562792024,0.42686873067934,-0.8787028546286028,0.21369225544168408,5.581702774755754,0.7198179667791296
2,6034.913722192994,6034.913722192994,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8999231812741195,0.43599689920990303,-0.006706093111357392,-0.08721987478530355,0.195052799686267,0.9769069038434446,0.4272364231288158,-0.8785562641139717,0.21356013096595727,6.3636837525238805,0.6021122680452416
3,6033.688815993337,6033.688815993337,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8997468806057854,0.43636050781470537,-0.006712530063322286,-0.08723238155937121,0.19489569201004608,0.9769371427289504,0.4276050308960815,-0.8784105967345897,0.21342155724467826,6.86497836221656,0.5334810981515518
4,6032.8179918860715,6032.8179918860715,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8995702199713899,0.43672448655046114,-0.00671879363140504,-0.08724219770411659,0.1947326910899111,0.9769687702074397,0.42797455330940076,-0.8782658491983606,0.2132765337572362,6.574359178850512,0.572650868614222
5,6032.301249871194,6032.301249871194,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8993931988485779,0.43708883520159036,-0.006724879704465281,-0.08724931927103385,0.194563797956269,0.9770017834229238,0.42834498964230194,-0.8781220180971147,0.21312505995632502,4.794936428368783,0.8527437936174834
6,6032.138589948707,6032.138589948707,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8992158167165509,0.43745355354752413,-0.006730784161614017,-0.0872537422919901,0.1943890136190251,0.9770361793916672,0.42871633911343965,-0.8779790999066358,0.21296713526810734,4.468465839402891,0.9125851513406328
7,6032.33001211861,6032.33001211861,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8990380730561298,0.4378186413625781,-0.006736502872210781,-0.08725546277926713,0.1942083390677421,0.9770719550021508,0.42908860088645673,-0.8778370909866907,0.21280275909237606,4.599564915291294,0.8882087961237544
8,6032.875516380903,6032.875516380903,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8988599673498213,0.4381840984158261,-0.0067420316958621,-0.08725447672560788,0.19402177527181097,0.9771091070150331,0.4294617740698452,-0.8776959875810557,0.21263193080272957,4.711963729813301,0.8676809469746828
9,6033.775102735585,6033.775102735585,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8986814990818803,0.4385499244709731,-0.006747366482419442,-0.08725078010426443,0.1938293231806229,0.977147632063108,0.4298358577168052,-0.877555785817543,0.21245464974674716,5.771907143885592,0.6899285358762242
10,6035.028771182657,6035.028771182657,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8985026677383775,0.4389161192862273,-0.00675250307197825,-0.08724436886904949,0.1936309837237511,0.9771875266512634,0.43021085082510424,-0.877416481708026,0.21227091524617603,5.223028575998001,0.7785105864096066
11,6036.63652172212,6036.63652172212,959.5,539.5,1.9152161811169437,84.68168266381842,-19.070093815386457,0.8983234728072631,0.43928268261417297,-0.006757437294876489,-0.08723523895439006,0.1934267578111341,0.9772287871564383,0.43058675233693483,-0.8772780711484637,0.21208072659712024,6.110150836569765,0.6388002911603758
